20060310	10530154	19.5513	-103.4685	5.95	 8 	1.0	2.0	 0.02  	71
20060311	19542779	19.477	-103.794	5.18	 4 	4.0	17.0	 0.31  	74
20060311	23330921	9.1002	-3.0883	1.0	19 	0.0	0.0	24.61  	75
20060312	10052816	19.5763	-104.8403	13.0	23 	32.0	99.0	17.51  	76
20060312	22422051	19.4155	-103.8325	70.0	32 	32.0	61.0	10.36  	77
20060314	23324832	19.5602	-104.1	24.92	 7 	3.0	29.0	 0.44  	78
20060315	04253479	19.5902	-103.7648	13.15	 5 	19.0	38.0	 1.88  	79
20060315	22282729	19.712	-103.4148	5.23	26 	18.0	21.0	 7.46  	80
20060316	12303474	19.4265	-103.9133	4.96	18 	13.0	26.0	 6.44  	81
20060317	13085231	19.4572	-103.5685	9.76	30 	5.0	2.0	 1.33  	82
20060318	11063447	19.5847	-103.7673	94.0	 5 	32.0	99.0	 7.19  	83
20060318	11332064	19.4855	-103.728	7.92	27 	6.0	2.0	 1.51  	84
20060318	15023502	19.6518	-103.5293	4.62	13 	17.0	32.0	 6.97  	85
20060319	02211773	19.4322	-103.8103	7.25	18 	4.0	3.0	 1.00  	86
20060319	09341316	19.3485	-103.8223	5.69	12 	1.0	4.0	 0.52  	87
20060319	21040633	19.2607	-104.211	79.38	 4 	9.0	8.0	 0.02  	88
20060319	22412515	18.5518	-103.7683	59.0	30 	32.0	99.0	19.05  	89
20060320	12442531	18.9043	-102.7695	19.89	 5 	3.0	13.0	 0.08  	91
20060320	23212894	19.6252	-103.6508	23.0	14 	28.0	43.0	 7.07  	92
20060322	22422076	19.8132	-103.7728	5.95	26 	20.0	22.0	 7.10  	93
20060323	00353293	19.6365	-103.7703	3.38	25 	19.0	25.0	 9.38  	94
20060323	01261140	19.7203	-103.2953	0.02	12 	23.0	30.0	 4.58  	95
20060323	08512874	19.6548	-103.83	5.0	 8 	24.0	57.0	 5.40  	96
20060323	09221719	19.4605	-103.7247	13.89	 7 	8.0	23.0	 1.18  	97
20060324	08472750	19.6652	-103.528	7.43	11 	23.0	97.0	 3.81  	98
20060324	18175215	19.6347	-103.907	5.5	10 	22.0	43.0	 7.97  	99
20060325	05284643	19.6508	-103.5582	19.0	32 	32.0	63.0	29.82  	100
20060325	05362569	19.5122	-103.4342	47.93	32 	28.0	33.0	 9.66  	101
20060325	05505930	19.893	-103.3862	47.0	20 	32.0	99.0	11.27  	102
20060325	05541175	19.6015	-103.6523	64.0	16 	32.0	88.0	12.14  	103
20060325	06144584	19.2017	-102.9077	24.0	 6 	3.0	28.0	 0.30  	104
20060325	08013472	19.6843	-103.6932	7.0	10 	32.0	61.0	10.09  	105
20060325	08164238	18.4053	-104.6447	7.17	 6 	1.0	10.0	 0.04  	107
20060325	11591042	19.7093	-103.4645	3.5	28 	14.0	19.0	 6.99  	108
20060325	14141858	19.5325	-103.6575	4.88	25 	7.0	3.0	 1.92  	109
20060325	16462578	19.8437	-103.047	23.68	14 	25.0	73.0	 7.95  	110
20060326	03013452	19.3672	-103.8747	30.0	26 	32.0	99.0	15.24  	111
